platform,day_of_week,publish_hour,post_format,content_category,caption_length,hashtag_count,caption_sentiment,has_call_to_action,follower_count,account_age_months,historical_avg_engagement,recent_engagement_trend,paid_promotion,engagement_score
LinkedIn,Monday,0,Short Video,Entertainment,54,3,0.665,Yes,20761,138,28.036,0.276,0,56.681
TikTok,Wednesday,13,Long Video,Behind the Scenes,162,4,0.161,Yes,1972,6,12.591,-0.27,0,36.933
X,Saturday,2,Carousel,Education,84,3,0.202,No,11332,16,22.117,0.077,0,44.729
LinkedIn,Wednesday,2,Image,Entertainment,157,3,0.816,No,5994,116,34.692,0.058,0,47.878
Instagram,Tuesday,5,Image,Product,88,5,0.239,No,79485,90,11.596,-0.114,0,20.816
X,Sunday,17,Carousel,Behind the Scenes,254,6,0.066,Yes,2791,141,4.609,-0.047,0,36.395
LinkedIn,Tuesday,15,Short Video,Community,36,6,0.722,Yes,7305,24,7.635,0.052,0,26.472
LinkedIn,Monday,7,Image,Behind the Scenes,115,4,0.339,Yes,1166,32,12.61,0.054,0,37.48
Instagram,Wednesday,22,Long Video,Lifestyle,86,3,0.433,Yes,20957,112,20.58,-0.265,0,31.607
TikTok,Monday,23,Image,Behind the Scenes,39,12,0.341,No,2123,3,45.0,-0.154,1,57.673
TikTok,Friday,2,Long Video,Entertainment,38,6,-0.024,No,3461,53,17.243,0.117,0,52.863
X,Thursday,0,Text,Education,135,3,0.226,No,33395,118,13.153,-0.181,0,35.696
Facebook,Sunday,23,Image,Behind the Scenes,127,4,-0.148,Yes,18515,94,6.701,0.38,0,37.212
LinkedIn,Tuesday,13,Text,Product,40,7,0.076,Yes,13866,49,17.799,-0.279,0,20.996
TikTok,Tuesday,19,Short Video,Education,7,7,0.621,No,6972,91,18.271,-0.099,0,62.701
Instagram,Friday,16,Text,Lifestyle,185,5,0.954,Yes,4433,101,19.04,0.323,0,53.563
Facebook,Friday,20,Carousel,Entertainment,112,7,0.474,Yes,50021,15,15.547,0.258,0,63.261
Instagram,Wednesday,10,Text,Lifestyle,238,4,0.172,No,9870,64,17.893,0.079,0,43.868
LinkedIn,Sunday,11,Short Video,Community,85,9,0.164,Yes,121058,140,2.898,0.142,0,51.293
Facebook,Saturday,23,Image,Education,278,7,-0.04,No,10515,28,38.286,0.019,1,62.197
LinkedIn,Friday,15,Text,Behind the Scenes,70,6,0.24,Yes,3238,34,20.596,0.357,0,42.692
TikTok,Saturday,7,Text,Behind the Scenes,41,5,-0.347,No,24491,99,7.039,-0.295,0,13.948
