feature,importance
numeric__historical_avg_engagement,0.39115988076543906
numeric__recent_engagement_trend,0.10096198989764274
categorical__platform_TikTok,0.08045430364107795
categorical__post_format_Short Video,0.0758199681432093
numeric__follower_count,0.0641195842532103
numeric__caption_length,0.06272333927817113
numeric__caption_sentiment,0.036267624960659
numeric__publish_hour,0.03345380537414882
categorical__post_format_Carousel,0.02652054270684016
numeric__account_age_months,0.024553416981108692
numeric__paid_promotion,0.022687472431602226
numeric__hashtag_count,0.016609280072025213
categorical__content_category_Product,0.00894073581359187
categorical__platform_Instagram,0.008305639564709843
categorical__has_call_to_action_No,0.004021143771537546
categorical__has_call_to_action_Yes,0.003939210259399923
categorical__post_format_Text,0.003783345633178548
categorical__platform_LinkedIn,0.003604694598859199
categorical__platform_Facebook,0.0034753251458130062
categorical__content_category_Entertainment,0.003397998739178266
categorical__post_format_Image,0.003216191904336141
categorical__content_category_Behind the Scenes,0.002000461754622353
categorical__day_of_week_Monday,0.0019311784938309488
categorical__content_category_Education,0.0019086027906396119
categorical__platform_X,0.001907632452828218
categorical__day_of_week_Saturday,0.0018583785782715762
categorical__content_category_Community,0.0017958818506625242
categorical__content_category_Lifestyle,0.0016478854787648424
categorical__day_of_week_Wednesday,0.0016269101042761585
categorical__day_of_week_Sunday,0.0015921799404919866
categorical__day_of_week_Thursday,0.0015285465815974841
categorical__day_of_week_Tuesday,0.001462899031284917
categorical__day_of_week_Friday,0.0014170279279460522
categorical__post_format_Long Video,0.0013069210790445024
